translated_text,Product Review,stopword_text,tokenised_text,normalise_text,stemming_text,lemma_text,POS_Tags,Sentiment_Rating
Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,3,Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,"['Baju', 'kurta', 'Sampai', 'Dalam', 'Keadaan', 'Baik', 'Tapi', 'Tarik', 'Ada']","['Baju', 'kurta', 'Sampai', 'Dalam', 'Keadaan', 'Baik', 'Tapi', 'Tarik', 'Ada']",baju kurta sampai dalam ada baik tapi tarik ada,Baju kurta Sampai Dalam Keadaan Baik Tapi Tarik Ada,"[('baju', 'NN'), ('kurta', 'NN'), ('sampai', 'NN'), ('dalam', 'NN'), ('ada', 'NN'), ('baik', 'NN'), ('tapi', 'NN'), ('tarik', 'NN'), ('ada', 'NN')]",Neutral
SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,2,SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,"['SIZING', 'TINDA', 'Tepat', 'Langsung', 'Aku', 'Rasa', 'Macam', 'Baju', 'Sekolah', 'Zaman', 'Rendah', 'ExpressionFlessface']","['SIZING', 'TINDA', 'Tepat', 'Langsung', 'Aku', 'Rasa', 'Macam', 'Baju', 'Sekolah', 'Zaman', 'Rendah', 'ExpressionFlessface']",sizing tinda tepat langsung aku rasa macam baju sekolah zaman rendah expressionflessface,SIZING TINDA Tepat Langsung Aku Rasa Macam Baju Sekolah Zaman Rendah ExpressionFlessface,"[('sizing', 'VBG'), ('tinda', 'NN'), ('tepat', 'NN'), ('langsung', 'NN'), ('aku', 'VBP'), ('rasa', 'NN'), ('macam', 'NN'), ('baju', 'NN'), ('sekolah', 'NN'), ('zaman', 'NN'), ('rendah', 'VBD'), ('expressionflessface', 'NN')]",Negative
Baju kurta aku dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,2,Baju kurta aku dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,"['Baju', 'kurta', 'aku', 'dah', 'koyak', 'Sebelum', 'pakai', 'memang', 'tolak', 'kualiti', 'langsung', 'facewithrollingeyes']","['Baju', 'kurta', 'saya', 'dah', 'koyak', 'Sebelum', 'pakai', 'memang', 'tolak', 'kualiti', 'langsung', 'facewithrollingeyes']",baju kurta saya dah koyak belum pakai memang tolak alit langsung facewithrollingeyes,Baju kurta saya dah koyak Sebelum pakai memang tolak kualiti langsung facewithrollingeyes,"[('baju', 'NN'), ('kurta', 'NN'), ('saya', 'NN'), ('dah', 'NN'), ('koyak', 'NN'), ('belum', 'NN'), ('pakai', 'NN'), ('memang', 'NN'), ('tolak', 'NN'), ('alit', 'NN'), ('langsung', 'NN'), ('facewithrollingeyes', 'NNS')]",Negative
Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Out Lambat Pulak Dari Yang Ini,5,Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Lambat Pulak Dari Yang Ini,"['Penghantaran', 'Laju', 'Kain', 'Cantik', 'Terima', 'kasih', 'Penjual', 'MASIH', 'TUNGGU', 'LAGI', '2Pasan', 'Baju', 'Untuk', 'Smpai', 'Pos', 'Out', 'Lambat', 'Pulak', 'Dari', 'Yang', 'Ini']","['Penghantaran', 'Laju', 'Kain', 'Cantik', 'Terima', 'kasih', 'Penjual', 'MASIH', 'TUNGGU', 'LAGI', '2Pasan', 'Baju', 'Untuk', 'Smpai', 'Pos', 'Out', 'Lambat', 'Pulak', 'Dari', 'Yang', 'Ini']",hantar laju kain cantik terima kasih jual masih tunggu lagi 2pasan baju untuk smpai pos out lambat pulak dari yang ini,Penghantaran Laju Kain Cantik Terima kasih Penjual MASIH TUNGGU LAGI 2Pasan Baju Untuk Smpai Pos Out Lambat Pulak Dari Yang Ini,"[('hantar', 'NN'), ('laju', 'NN'), ('kain', 'NN'), ('cantik', 'NN'), ('terima', 'JJ'), ('kasih', 'NN'), ('jual', 'JJ'), ('masih', 'NN'), ('tunggu', 'NN'), ('lagi', 'VBD'), ('2pasan', 'CD'), ('baju', 'NN'), ('untuk', 'JJ'), ('smpai', 'NN'), ('pos', 'NN'), ('out', 'IN'), ('lambat', 'NN'), ('pulak', 'NN'), ('dari', 'NN'), ('yang', 'NN'), ('ini', 'NN')]",Positive
Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J T PUN Laju Buat Keja,5,Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J PUN Laju Buat Keja,"['Baju', 'Selamat', 'Mendarat', 'Kain', 'Cantik', 'Dan', 'Sedap', 'Di', 'Pakai', 'Penjual', 'Peramah', 'ABG', 'J', 'T', 'PUN', 'Laju', 'Buat', 'Keja']","['Baju', 'Selamat', 'Mendarat', 'Kain', 'Cantik', 'Dan', 'Sedap', 'Di', 'Pakai', 'Penjual', 'Peramah', 'ABG', 'J', 'T', 'PUN', 'Laju', 'Buat', 'Keja']",baju selamat darat kain cantik dan sedap di pakai jual amah abg j t pun laju buat keja,Baju Selamat Mendarat Kain Cantik Dan Sedap Di Pakai Penjual Peramah ABG J T PUN Laju Buat Keja,"[('baju', 'NN'), ('selamat', 'NN'), ('darat', 'NN'), ('kain', 'VBP'), ('cantik', 'JJ'), ('dan', 'NN'), ('sedap', 'NN'), ('di', 'NN'), ('pakai', 'VBP'), ('jual', 'JJ'), ('amah', 'NN'), ('abg', 'NN'), ('j', 'NN'), ('t', 'NN'), ('pun', 'NN'), ('laju', 'NN'), ('buat', 'NN'), ('keja', 'NN')]",Positive
Baju cantik pos dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,5,Baju cantik pos dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,"['Baju', 'cantik', 'pos', 'dalam', '4hri', 'kualiti', 'okay', 'la', 'terima', 'kasih', 'penjual', 'zanyface', 'zanyface', 'zanyface', 'zanyface']","['Baju', 'cantik', 'pos', 'dalam', '4hri', 'kualiti', 'okay', 'la', 'terima', 'kasih', 'penjual', 'zanyface', 'zanyface', 'zanyface', 'zanyface']",baju cantik pos dalam 4hri alit okay la terima kasih jual zanyface zanyface zanyface zanyface,Baju cantik po dalam 4hri kualiti okay la terima kasih penjual zanyface zanyface zanyface zanyface,"[('baju', 'NN'), ('cantik', 'NN'), ('pos', 'NN'), ('dalam', 'VBZ'), ('4hri', 'CD'), ('alit', 'NN'), ('okay', 'NN'), ('la', 'NN'), ('terima', 'NN'), ('kasih', 'VBD'), ('jual', 'JJ'), ('zanyface', 'NN'), ('zanyface', 'NN'), ('zanyface', 'NN'), ('zanyface', 'NN')]",Positive
selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,5,selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,"['selamat', 'sampai', 'terima', 'kasih', 'ya', 'saiz', 'ukuran', 'sama', 'seperti', 'dalam', 'carta', 'ukuran']","['selamat', 'sampai', 'terima', 'kasih', 'ya', 'saiz', 'ukuran', 'sama', 'seperti', 'dalam', 'carta', 'ukuran']",selamat sampai terima kasih ya saiz ukur sama seperti dalam carta ukur,selamat sampai terima kasih ya saiz ukuran sama seperti dalam carta ukuran,"[('selamat', 'NN'), ('sampai', 'NN'), ('terima', 'NN'), ('kasih', 'NN'), ('ya', 'NN'), ('saiz', 'NN'), ('ukur', 'JJ'), ('sama', 'NN'), ('seperti', 'NN'), ('dalam', 'NN'), ('carta', 'NN'), ('ukur', 'NN')]",Positive
Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,5,Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,"['Bungkusan', 'Bagus', 'Dan', 'Baik', 'Barang', 'Sampai', 'Dengan', 'Selamat', 'Tiada', 'Kerosakan', 'Dan', 'Kebocoran', 'Plastik', 'Yang', 'Di', 'Balut', 'Video', 'Tiada', 'Kait', 'Kain', 'Baik', 'Dan', 'Lembut']","['Bungkusan', 'Bagus', 'Dan', 'Baik', 'Barang', 'Sampai', 'Dengan', 'Selamat', 'Tiada', 'Kerosakan', 'Dan', 'Kebocoran', 'Plastik', 'Yang', 'Di', 'Balut', 'Video', 'Tiada', 'Kait', 'Kain', 'Baik', 'Dan', 'Lembut']",bungkus bagus dan baik barang sampai dengan selamat tiada kerosakan dan bocor plastik yang di balut video tiada kait kain baik dan lembut,Bungkusan Bagus Dan Baik Barang Sampai Dengan Selamat Tiada Kerosakan Dan Kebocoran Plastik Yang Di Balut Video Tiada Kait Kain Baik Dan Lembut,"[('bungkus', 'NN'), ('bagus', 'NN'), ('dan', 'NN'), ('baik', 'NN'), ('barang', 'NN'), ('sampai', 'NN'), ('dengan', 'JJ'), ('selamat', 'JJ'), ('tiada', 'NN'), ('kerosakan', 'NN'), ('dan', 'NN'), ('bocor', 'NN'), ('plastik', 'NN'), ('yang', 'NN'), ('di', 'NN'), ('balut', 'NN'), ('video', 'NN'), ('tiada', 'NN'), ('kait', 'NN'), ('kain', 'NN'), ('baik', 'JJ'), ('dan', 'NN'), ('lembut', 'NN')]",Positive
Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,5,Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,"['Baju', 'Saiz', '3', '4', 'OK', 'Semua', 'Cantik', 'Jahitan', 'KEMIS', 'Baju', 'Saiz', '1', '2', 'Jahitan', 'Kemas', 'Tapi', 'Ada', 'Sikit', 'Kekotoran', 'Karat', 'Dibelakah', 'Baju', 'Skrg']","['Baju', 'Saiz', '3', '4', 'OK', 'Semua', 'Cantik', 'Jahitan', 'KEMIS', 'Baju', 'Saiz', '1', '2', 'Jahitan', 'Kemas', 'Tapi', 'Ada', 'Sikit', 'Kekotoran', 'Karat', 'Dibelakah', 'Baju', 'Skrg']",baju saiz 3 4 ok semua cantik jahit kemis baju saiz 1 2 jahit kemas tapi ada sikit kotor karat bela baju skrg,Baju Saiz 3 4 OK Semua Cantik Jahitan KEMIS Baju Saiz 1 2 Jahitan Kemas Tapi Ada Sikit Kekotoran Karat Dibelakah Baju Skrg,"[('baju', 'NN'), ('saiz', 'VBD'), ('3', 'CD'), ('4', 'CD'), ('ok', 'JJ'), ('semua', 'NN'), ('cantik', 'NN'), ('jahit', 'NN'), ('kemis', 'VBD'), ('baju', 'JJ'), ('saiz', 'NN'), ('1', 'CD'), ('2', 'CD'), ('jahit', 'NN'), ('kemas', 'NN'), ('tapi', 'NN'), ('ada', 'JJ'), ('sikit', 'NN'), ('kotor', 'NN'), ('karat', 'VBD'), ('bela', 'JJ'), ('baju', 'NN'), ('skrg', 'NN')]",Positive
Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,5,Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,"['Perfect', 'Penghantaran', 'Sangat', 'Cepat', 'Kualiti', 'Kain', 'Pun', 'Best', 'Aak', '1', 'Tahun', '11', 'Bulan', 'AMIK', 'Saiz', '1', '2', 'Fit²', 'Penjual', 'Responden', 'Pun', 'Cepat']","['Perfect', 'Penghantaran', 'Sangat', 'Cepat', 'Kualiti', 'Kain', 'Pun', 'Best', 'Aak', '1', 'Tahun', '11', 'Bulan', 'AMIK', 'Saiz', '1', '2', 'Fit²', 'Penjual', 'Responden', 'Pun', 'Cepat']",perfect hantar sangat cepat alit kain pun best aak 1 tahun 11 bulan amik saiz 1 2 fit jual responden pun cepat,Perfect Penghantaran Sangat Cepat Kualiti Kain Pun Best Aak 1 Tahun 11 Bulan AMIK Saiz 1 2 Fit² Penjual Responden Pun Cepat,"[('perfect', 'JJ'), ('hantar', 'NN'), ('sangat', 'NN'), ('cepat', 'NN'), ('alit', 'NN'), ('kain', 'NN'), ('pun', 'NN'), ('best', 'RBS'), ('aak', 'RB'), ('1', 'CD'), ('tahun', 'JJ'), ('11', 'CD'), ('bulan', 'NN'), ('amik', 'VBD'), ('saiz', 'JJ'), ('1', 'CD'), ('2', 'CD'), ('fit', 'JJ'), ('jual', 'JJ'), ('responden', 'NN'), ('pun', 'NN'), ('cepat', 'NN')]",Positive
